Full Address	EmploymentInfo.EmployerName	EmploymentInfo.GroupID	EmploymentInfo.EligibilityStatus	EmploymentInfo.EmployeeStatus	Name.First	Name.Middle	Name.Last	Gender	DOB	SSN	Address.Street	Address.City	Address.State	Address.Zip	SubscriberID	RelationshipStatus	Phone	AltPhone	Email	AccountNumber	RoutingNumber	PayrollType	CoverageType	ElectedUnits	DateSigned	Dependents[1].FirstName	Dependents[1].LastName	Dependents[1].Gender	Dependents[1].DOB	Dependents[1].SSN	Dependents[1].Relationship	Dependents[2].FirstName	Dependents[2].LastName	Dependents[2].Gender	Dependents[2].DOB	Dependents[2].SSN	Dependents[2].Relationship	Dependents[3].FirstName	Dependents[3].LastName	Dependents[3].Gender	Dependents[3].DOB	Dependents[3].SSN	Dependents[3].Relationship	Dependents[4].FirstName	Dependents[4].LastName	Dependents[4].Gender	Dependents[4].DOB	Dependents[4].SSN	Dependents[4].Relationship	Beneficiaries[1].FirstName	Beneficiaries[1].LastName	Beneficiaries[1].Percent	Beneficiaries[1].Relationship	Beneficiaries[2].FirstName	Beneficiaries[2].LastName	Beneficiaries[2].Percent	Beneficiaries[2].Relationship
Field Group	EmploymentInfo	EmploymentInfo	EmploymentInfo	EmploymentInfo	Name	Name	Name				Address	Address	Address	Address												Dependents[1]	Dependents[1]	Dependents[1]	Dependents[1]	Dependents[1]	Dependents[1]	Dependents[2]	Dependents[2]	Dependents[2]	Dependents[2]	Dependents[2]	Dependents[2]	Dependents[3]	Dependents[3]	Dependents[3]	Dependents[3]	Dependents[3]	Dependents[3]	Dependents[4]	Dependents[4]	Dependents[4]	Dependents[4]	Dependents[4]	Dependents[4]	Beneficiaries[1]	Beneficiaries[1]	Beneficiaries[1]	Beneficiaries[1]	Beneficiaries[2]	Beneficiaries[2]	Beneficiaries[2]	Beneficiaries[2]
Field	EmployerName	GroupID	EligibilityStatus	EmployeeStatus	First	Middle	Last	Gender	DOB	SSN	Street	City	State	Zip	SubscriberID	RelationshipStatus	Phone	AltPhone	Email	AccountNumber	RoutingNumber	PayrollType	CoverageType	ElectedUnits	DateSigned	FirstName	LastName	Gender	DOB	SSN	Relationship	FirstName	LastName	Gender	DOB	SSN	Relationship	FirstName	LastName	Gender	DOB	SSN	Relationship	FirstName	LastName	Gender	DOB	SSN	Relationship	FirstName	LastName	Percent	Relationship	FirstName	LastName	Percent	Relationship
Description (Tan for Required)	Must be consistent	In the format OPH001	Salary/Hourly	W2 or Owner		Name or initial, no period				With or without dashes					Sequential 9-digit values starting at 040000001		With or without dashes	With or without dashes		Bank account number	9-digit routing number			# of units	Enrollment Date						Relationship with enrollee						Relationship with enrollee						Relationship with enrollee						Relationship with enrollee			% of benefit to which person is entitled	Relationship with enrollee			% of benefit to which person is entitled	Relationship with enrollee
	ABC Company	OPH002	Salary	W2	Linda		Smith	Female	1/1/1970	111-02-5141	123 Red Lane	Dallas	TX	75245	40000001	Single	972-501-4512		test1@yahoo.com	12165465	123456789	Biweekly	EmployeePlusChildren	8	1/15/2018	Suzie	Smith	Female	1/1/2000	125-53-0145	Child	Ben	Jenkins	Male	1/1/2005	125-11-5612	Child	Ben	Jenkins	Male	1/1/2005	125-11-5612	Child	Ben	Jenkins	Male	1/1/2005	125-11-5612	Child	John	Beni	100	Other				
	ABC Company	OPH002	Salary	W2	Sara	Lee	Rogers	Female	2/1/1980	111-02-5142	124 Red Lane	Dallas	TX	75246	40000002	Single	972-501-4513	469-200-1212	test2@yahoo.com	12165466	123456789	Biweekly	EmployeePlusFamily	10	1/15/2018	Sissy	Wheeler	Female	1/19/1949	987-55-9575	Spouse	John	WickChild	Male	6/9/2011	975-44-6315	Child																				
	ABC Company	OPH002	Salary	W2	John		Williams	Male	3/1/1985	111-02-5143	125 Red Lane	Dallas	TX	75247	40000003	Single	972-501-4514	469-200-1213	test3@yahoo.com	12165467	123456789	Biweekly	EmployeeOnly	40	1/15/2018																																
	ABC Company	OPH002	Salary	W2	Brittany		Bryan	Female	4/1/1986	111-02-5144	126 Red Lane	Dallas	TX	75248	40000004	Single	972-501-4515		test4@yahoo.com	12165468	123456789	Biweekly	EmployeeOnly	8	1/15/2018																																
	ABC Company	OPH002	Salary	W2	Marcus	Frank	Allen	Male	5/1/1960	111-02-5145	127 Red Lane	Dallas	TX	75249	40000005	Single	972-501-4516		test5@yahoo.com	12165469	123456789	Biweekly	EmployeeOnly	10	1/15/2018																																
	CDE Company	OPH003	Salary	W2	Mark		Clark	Male	6/1/1950	111-02-5146	128 Red Lane	Dallas	TX	75250	40000006	Single	972-501-4517		test6@yahoo.com	12165470	123456789	Biweekly	EmployeeOnly	40	1/15/2018																																
	CDE Company	OPH003	Salary	W2	Ashley		Foster	Female	7/1/1955	111-02-5147	129 Red Lane	Dallas	TX	75251	40000007	Married	972-501-4518		test7@yahoo.com	12165471	123456789	Biweekly	EmployeePlusSpouse	50	1/15/2018	Ben Foster		Male	1/1/1989	125-44-5555	Spouse																			George	Carlisle	25	Spouse	Kebby	McAdams	75	Child
